Citation_context	Cited_content	Label	Twist_category	Qwen8B_prediction	Qwen14B_prediction	Mistral7B_prediction	Mistral24B_prediction	Llama8B_prediction	Deepseek_prediction
Since LSTM based encoder/decoder method successfully worked for real time sequential nature application, it is a good method.	Understanding temporal sequences is important for solving many problems in theAI-set. Recently, recurrent neural networks using the Long Short Term Memory(LSTM) architecture (Hochreiter & Schmidhuber, 1997) have been used successfully to perform various supervisedsequence learning tasks, such as speech recognition (Graves & Jaitly, 2014), machinetranslation (Sutskever et al., 2014; Cho et al., 2014), and caption generation for images(Vinyals et al., 2014). They have also been applied on videos for recognizingactions and generating natural language descriptions (Donahue et al., 2014). Ageneral sequence to sequence learning framework was described by Sutskever et al. (2014)in which a recurrent network is used to encode a sequence into a fixed lengthrepresentation, and then another recurrent network is used to decode a sequenceout of that representation. In this work, we apply and extend this framework tolearn representations of sequences of images. We choose to work in theunsupervised setting where we only have access to a dataset of unlabelledvideos.	Correct		Incorrect	Correct	Correct	Incorrect	Incorrect	Correct
Since LSTM based encoder/decoder method struggled with real time sequential nature application, it is not a suitable method.	Understanding temporal sequences is important for solving many problems in theAI-set. Recently, recurrent neural networks using the Long Short Term Memory(LSTM) architecture (Hochreiter & Schmidhuber, 1997) have been used successfully to perform various supervisedsequence learning tasks, such as speech recognition (Graves & Jaitly, 2014), machinetranslation (Sutskever et al., 2014; Cho et al., 2014), and caption generation for images(Vinyals et al., 2014). They have also been applied on videos for recognizingactions and generating natural language descriptions (Donahue et al., 2014). Ageneral sequence to sequence learning framework was described by Sutskever et al. (2014)in which a recurrent network is used to encode a sequence into a fixed lengthrepresentation, and then another recurrent network is used to decode a sequenceout of that representation. In this work, we apply and extend this framework tolearn representations of sequences of images. We choose to work in theunsupervised setting where we only have access to a dataset of unlabelledvideos.	Incorrect	Opposite	Incorrect	Unrelated	Correct	Incorrect	Incorrect	Incorrect
The authors extended identical LSTM classifier framework as baseline to learn representation of image sequences.	The baseline for comparing these models is an identical LSTM classifier but with randomly initialized weights. All classifiers used dropout regularization, where we dropped activations as they were communicated across layers but not through time within the same LSTM as proposed in Zaremba et al. (2014). We emphasize that this is a very strong baseline and does significantly better than just using single frames. Using dropout was crucial in order to train good baseline models especially with very few training examples.	Correct		Incorrect	Correct	Correct	Incorrect	Incorrect	Incorrect
The authors extended identical LSTM classifier framework as baseline to learn representation of image sequences, which was then fine-tuned on a larger, unlabeled dataset.	The baseline for comparing these models is an identical LSTM classifier but with randomly initialized weights. All classifiers used dropout regularization, where we dropped activations as they were communicated across layers but not through time within the same LSTM as proposed in Zaremba et al. (2014). We emphasize that this is a very strong baseline and does significantly better than just using single frames. Using dropout was crucial in order to train good baseline models especially with very few training examples.	Incorrect	Invent something doesn't mentioned	Incorrect	Incorrect	Correct	Incorrect	Incorrect	Incorrect
Labelling videos is a tedious job and that makes supervise training very expensive.  Compare to that unsupervised model can take advantage of all videos available that doesn't need labelling.  That's why the authors prefer to learn video representations through unsupervised models.	Supervised learning has been extremely successful in learning good visualrepresentations that not only produce good results at the task they are trainedfor, but also transfer well to other tasks and datasets. Therefore, it isnatural to extend the same approach to learning video representations. This hasled to research in 3D convolutional nets (Ji et al., 2013; Tran et al., 2014), different temporalfusion strategies (Karpathy et al., 2014) and exploring different ways ofpresenting visual information to convolutional nets (Simonyan & Zisserman, 2014a).However, videos are much higher dimensional entities compared to single images.Therefore, it becomes increasingly difficult to do credit assignment and learn longrange structure, unless we collect much more labelled data or do a lot offeature engineering (for example computing the right kinds of flow features) tokeep the dimensionality low. The costly work of collecting more labelled dataand the tedious work of doing more clever engineering can go a long way insolving particular problems, but this is ultimately unsatisfying as a machinelearning solution. This highlights the need for using unsupervised learning tofind and represent structure in videos. Moreover, videos have a lot ofstructure in them (spatial and temporal regularities) which makes themparticularly well suited as a domain for building unsupervised learning models.	Correct		Incorrect	Correct	Correct	Incorrect	Incorrect	Correct
Labelling videos is a tedious job and that makes supervise training very expensive. Compare to that self-supervised model can take advantage of all videos available that doesn't need labelling. That's why the authors prefer to learn video representations through self-supervised models.	Supervised learning has been extremely successful in learning good visualrepresentations that not only produce good results at the task they are trainedfor, but also transfer well to other tasks and datasets. Therefore, it isnatural to extend the same approach to learning video representations. This hasled to research in 3D convolutional nets (Ji et al., 2013; Tran et al., 2014), different temporalfusion strategies (Karpathy et al., 2014) and exploring different ways ofpresenting visual information to convolutional nets (Simonyan & Zisserman, 2014a).However, videos are much higher dimensional entities compared to single images.Therefore, it becomes increasingly difficult to do credit assignment and learn longrange structure, unless we collect much more labelled data or do a lot offeature engineering (for example computing the right kinds of flow features) tokeep the dimensionality low. The costly work of collecting more labelled dataand the tedious work of doing more clever engineering can go a long way insolving particular problems, but this is ultimately unsatisfying as a machinelearning solution. This highlights the need for using unsupervised learning tofind and represent structure in videos. Moreover, videos have a lot ofstructure in them (spatial and temporal regularities) which makes themparticularly well suited as a domain for building unsupervised learning models.	Incorrect	Change concept	Incorrect	Incorrect	Correct	Incorrect	Incorrect	Incorrect
Image patches and high-level percepts are the two types of inputs used in the proposed model.	The inputs to the model can, in principle, be any representation of individualvideo frames. However, for the purposes of this work, we limit our attention to two kinds of inputs. The first is image patches. For this we use natural imagepatches as well as a dataset of moving MNIST digits. The second ishigh-level “percepts” extracted by applying a convolutional net trained onImageNet. These percepts are the states of last (and/or second-to-last) layers ofrectified linear hidden states from a convolutional neural net model.	Correct		Correct	Correct	Correct	Correct	Incorrect	Correct
Image patches and low-level features are the two types of inputs used in the proposed model.	The inputs to the model can, in principle, be any representation of individualvideo frames. However, for the purposes of this work, we limit our attention to two kinds of inputs. The first is image patches. For this we use natural imagepatches as well as a dataset of moving MNIST digits. The second ishigh-level “percepts” extracted by applying a convolutional net trained onImageNet. These percepts are the states of last (and/or second-to-last) layers ofrectified linear hidden states from a convolutional neural net model.	Incorrect	Change concept	Correct	Unrelated	Correct	Incorrect	Incorrect	Incorrect
Since LSTM based auto-encoder models control the learning an identity mapping, it forced learn good features.	Why should this learn good features?The state of the encoder LSTM after the last input has been read is therepresentation of the input video. The decoder LSTM is being asked toreconstruct back the input sequence from this representation. In order to do so,the representation must retain information about the appearance of the objectsand the background as well as the motion contained in the video.However, an important question for any autoencoder-style model is what preventsit from learning an identity mapping and effectively copying the input to theoutput. In that case all the information about the input would still be presentbut the representation will be no better than the input. There are two factorsthat control this behaviour. First, the fact that there are only a fixed numberof hidden units makes it unlikely that the model can learn trivial mappings forarbitrary length input sequences. Second, the same LSTM operation is used to decode the representation recursively. This means that the same dynamics must beapplied on the representation at any stage of decoding. This further preventsthe model from learning an identity mapping.	Correct		Incorrect	Incorrect	Correct	Incorrect	Incorrect	Incorrect
Since LSTM based auto-encoder models fail to control the learning of an identity mapping, it prevented them from learning good features.	Why should this learn good features?The state of the encoder LSTM after the last input has been read is therepresentation of the input video. The decoder LSTM is being asked toreconstruct back the input sequence from this representation. In order to do so,the representation must retain information about the appearance of the objectsand the background as well as the motion contained in the video.However, an important question for any autoencoder-style model is what preventsit from learning an identity mapping and effectively copying the input to theoutput. In that case all the information about the input would still be presentbut the representation will be no better than the input. There are two factorsthat control this behaviour. First, the fact that there are only a fixed numberof hidden units makes it unlikely that the model can learn trivial mappings forarbitrary length input sequences. Second, the same LSTM operation is used to decode the representation recursively. This means that the same dynamics must beapplied on the representation at any stage of decoding. This further preventsthe model from learning an identity mapping.	Incorrect	Opposite	Correct	Correct	Correct	Correct	Incorrect	Correct
The two factors that control the model from learning an identity mapping or prevent overfitting are fixed number of hidden units and forceful decode of the input representation recursively.	Why should this learn good features?The state of the encoder LSTM after the last input has been read is therepresentation of the input video. The decoder LSTM is being asked toreconstruct back the input sequence from this representation. In order to do so,the representation must retain information about the appearance of the objectsand the background as well as the motion contained in the video.However, an important question for any autoencoder-style model is what preventsit from learning an identity mapping and effectively copying the input to theoutput. In that case all the information about the input would still be presentbut the representation will be no better than the input. There are two factorsthat control this behaviour. First, the fact that there are only a fixed numberof hidden units makes it unlikely that the model can learn trivial mappings forarbitrary length input sequences. Second, the same LSTM operation is used todecode the representation recursively. This means that the same dynamics must beapplied on the representation at any stage of decoding. This further preventsthe model from learning an identity mapping.	Correct		Correct	Correct	Correct	Correct	Correct	Correct
The two factors that control the model from learning an identity mapping or prevent overfitting are a dynamic hidden unit allocation and forceful decode of the input representation recursively.	Why should this learn good features?The state of the encoder LSTM after the last input has been read is therepresentation of the input video. The decoder LSTM is being asked toreconstruct back the input sequence from this representation. In order to do so,the representation must retain information about the appearance of the objectsand the background as well as the motion contained in the video.However, an important question for any autoencoder-style model is what preventsit from learning an identity mapping and effectively copying the input to theoutput. In that case all the information about the input would still be presentbut the representation will be no better than the input. There are two factorsthat control this behaviour. First, the fact that there are only a fixed numberof hidden units makes it unlikely that the model can learn trivial mappings forarbitrary length input sequences. Second, the same LSTM operation is used todecode the representation recursively. This means that the same dynamics must beapplied on the representation at any stage of decoding. This further preventsthe model from learning an identity mapping.	Incorrect	Change concept	Correct	Correct	Correct	Correct	Correct	Correct
Ranzato model predict only the next frame but LSTM future predictor model predicts a long sequence into the future.	Another natural unsupervised learning task for sequences is predicting thefuture. This is the approach used in language models for modeling sequences ofwords. The design of the Future Predictor Model is same as that of theAutoencoder Model, except that the decoder LSTM in this case predicts frames ofthe video that come after the input sequence (Fig. 3).Ranzato et al. (2014) use a similar model but predict only the next frame at eachtime step. This model, on the other hand, predicts a long sequence into thefuture. Here again we can consider two variants of the decoder – conditionaland unconditioned.	Correct		Correct	Correct	Correct	Correct	Incorrect	Correct
LSTM future predictor model predict only the next frame but Ranzato model predicts a long sequence into the future.	Another natural unsupervised learning task for sequences is predicting thefuture. This is the approach used in language models for modeling sequences ofwords. The design of the Future Predictor Model is same as that of theAutoencoder Model, except that the decoder LSTM in this case predicts frames ofthe video that come after the input sequence (Fig. 3).Ranzato et al. (2014) use a similar model but predict only the next frame at eachtime step. This model, on the other hand, predicts a long sequence into thefuture. Here again we can consider two variants of the decoder – conditionaland unconditioned.	Incorrect	Opposite	Correct	Correct	Correct	Incorrect	Correct	Incorrect
Since representation is another form of input, that's why it doesn't need label for any purpose.	When designing any unsupervised learning model, it is crucial to have the right inductive biases and choose the right objective function so that the learning signal points the model towards learning useful features. In this paper, we use the LSTM Encoder-Decoder framework to learn video representations. The key inductive bias here is that the same operation must be applied at each time step to propagate information to the next step. This enforces the fact that the physics of the world remains the same, irrespective of input. The same physics acting on any state, at any time, must produce the next state. Our model works as follows. The Encoder LSTM runs through a sequence of frames to come up with a representation. This representation is then decoded through another LSTM to produce a target sequence. We consider different choices of the target sequence. One choice is to predict the same sequence as the input. The motivation is similar to that of autoencoders – we wish to capture all that is needed to reproduce the input but at the same time go through the inductive biases imposed by the model. Another option is to predict the future frames. Here the motivation is to learn a representation that extracts all that is needed to extrapolate the motion and appearance beyond what has been observed. These two natural choices can also be combined. In this case, there are two decoder LSTMs – one that decodes the representation into the input sequence and another that decodes the same representation to predict the future.	Correct		Incorrect	Unrelated	Correct	Unrelated	Incorrect	Incorrect
Since the model is trained using a self-supervised objective, that's why it doesn't need labels for its training purpose.	When designing any unsupervised learning model, it is crucial to have the right inductive biases and choose the right objective function so that the learning signal points the model towards learning useful features. In this paper, we use the LSTM Encoder-Decoder framework to learn video representations. The key inductive bias here is that the same operation must be applied at each time step to propagate information to the next step. This enforces the fact that the physics of the world remains the same, irrespective of input. The same physics acting on any state, at any time, must produce the next state. Our model works as follows. The Encoder LSTM runs through a sequence of frames to come up with a representation. This representation is then decoded through another LSTM to produce a target sequence. We consider different choices of the target sequence. One choice is to predict the same sequence as the input. The motivation is similar to that of autoencoders – we wish to capture all that is needed to reproduce the input but at the same time go through the inductive biases imposed by the model. Another option is to predict the future frames. Here the motivation is to learn a representation that extracts all that is needed to extrapolate the motion and appearance beyond what has been observed. These two natural choices can also be combined. In this case, there are two decoder LSTMs – one that decodes the representation into the input sequence and another that decodes the same representation to predict the future.	Incorrect	Change concept	Incorrect	Unrelated	Correct	Unrelated	Incorrect	Incorrect
Since in conditional decoder have access to last few frames, often it find a easy way to pick up a correlated frame but not necessary an optimized one.  That is why it is difficult to optimize.	There is also an argument against using a conditional decoder from theoptimization point-of-view. There are strong short-range correlations invideo data, for example, most of the content of a frame is same as the previousone. If the decoder was given access to the last few frames while generating aparticular frame at training time, it would find it easy to pick up on thesecorrelations. There would only be a very small gradient that tries to fix up theextremely subtle errors that require long term knowledge about the inputsequence. In an unconditioned decoder, this input is removed and the model isforced to look for information deep inside the encoder.	Correct		Correct	Correct	Correct	Correct	Incorrect	Correct
Since in conditional decoder have access to last few frames, often it find a difficult way to pick up a correlated frame but an optimized one. That is why it is easy to optimize.	There is also an argument against using a conditional decoder from theoptimization point-of-view. There are strong short-range correlations invideo data, for example, most of the content of a frame is same as the previousone. If the decoder was given access to the last few frames while generating aparticular frame at training time, it would find it easy to pick up on thesecorrelations. There would only be a very small gradient that tries to fix up theextremely subtle errors that require long term knowledge about the inputsequence. In an unconditioned decoder, this input is removed and the model isforced to look for information deep inside the encoder.	Incorrect	Opposite	Incorrect	Incorrect	Correct	Incorrect	Incorrect	Incorrect
The author talk both advantage and disadvantage of conditional and unconditional decoder blocks.  They also provided a strong argument in favor of using a conditional decoder but clearly no winner is mentioned.	For each of these two models, we can consider two possibilities - one in whichthe decoder LSTM is conditioned on the last generated frame and the other inwhich it is not. In the experimental section, we explore these choicesquantitatively. Here we briefly discuss arguments for and against a conditionaldecoder. A strong argument in favour of using a conditional decoder is that itallows the decoder to model multiple modes in the target sequence distribution.Without that, we would end up averaging the multiple modes in the low-levelinput space. However, this is an issue only if we expect multiple modes in thetarget sequence distribution. For the LSTM Autoencoder, there is only onecorrect target and hence a unimodal target distribution. But for the LSTM FuturePredictor there is a possibility of multiple targets given an input because evenif we assume a deterministic universe, everything needed to predict the futurewill not necessarily be observed in the input.	Correct		Correct	Correct	Correct	Correct	Correct	Correct
The author talk both advantage and disadvantage of conditional and unconditional decoder blocks.  They also provided a strong argument in favor of using an unconditional decoder.	For each of these two models, we can consider two possibilities - one in whichthe decoder LSTM is conditioned on the last generated frame and the other inwhich it is not. In the experimental section, we explore these choicesquantitatively. Here we briefly discuss arguments for and against a conditionaldecoder. A strong argument in favour of using a conditional decoder is that itallows the decoder to model multiple modes in the target sequence distribution.Without that, we would end up averaging the multiple modes in the low-levelinput space. However, this is an issue only if we expect multiple modes in thetarget sequence distribution. For the LSTM Autoencoder, there is only onecorrect target and hence a unimodal target distribution. But for the LSTM FuturePredictor there is a possibility of multiple targets given an input because evenif we assume a deterministic universe, everything needed to predict the futurewill not necessarily be observed in the input.	Incorrect	Opposite	Correct	Correct	Correct	Incorrect	Incorrect	Correct
UCF-101 and HMDB-51 datasets are used for supervised learning.	We use the UCF-101 and HMDB-51 datasets for supervised tasks.The UCF-101 dataset (Soomro et al., 2012) contains 13,320 videos with an average length of 6.2 seconds belonging to 101 different action categories. The dataset has 3standard train/test splits with the training set containing around 9,500 videosin each split (the rest are test).The HMDB-51 dataset (Kuehne et al., 2011) contains 5100 videos belonging to 51 differentaction categories. Mean length of the videos is 3.2 seconds. This also has 3train/test splits with 3570 videos in the training set and rest in test.To train the unsupervised models, we used a subset of the Sports-1M dataset(Karpathy et al., 2014), that contains 1 million YouTube clips. Even though this dataset is labelled for actions, we didnot do any supervised experiments on it because of logistical constraints withworking with such a huge dataset. We instead collected 300 hours of video byrandomly sampling 10 second clips from the dataset. It is possible to collectbetter samples if instead of choosing randomly, we extracted videos where a lot ofmotion is happening and where there are no shot boundaries. However, we did notdo so in the spirit of unsupervised learning, and because we did not want tointroduce any unnatural bias in the samples. We also used the superviseddatasets (UCF-101 and HMDB-51) for unsupervised training. However, we found thatusing them did not give any significant advantage over just using the YouTubevideos.	Correct		Correct	Correct	Correct	Correct	Incorrect	Correct
Kinetics-400 and HMDB-51 datasets are used for supervised learning.	We use the UCF-101 and HMDB-51 datasets for supervised tasks.The UCF-101 dataset (Soomro et al., 2012) contains 13,320 videos with an average length of 6.2 seconds belonging to 101 different action categories. The dataset has 3standard train/test splits with the training set containing around 9,500 videosin each split (the rest are test).The HMDB-51 dataset (Kuehne et al., 2011) contains 5100 videos belonging to 51 differentaction categories. Mean length of the videos is 3.2 seconds. This also has 3train/test splits with 3570 videos in the training set and rest in test.To train the unsupervised models, we used a subset of the Sports-1M dataset(Karpathy et al., 2014), that contains 1 million YouTube clips. Even though this dataset is labelled for actions, we didnot do any supervised experiments on it because of logistical constraints withworking with such a huge dataset. We instead collected 300 hours of video byrandomly sampling 10 second clips from the dataset. It is possible to collectbetter samples if instead of choosing randomly, we extracted videos where a lot ofmotion is happening and where there are no shot boundaries. However, we did notdo so in the spirit of unsupervised learning, and because we did not want tointroduce any unnatural bias in the samples. We also used the superviseddatasets (UCF-101 and HMDB-51) for unsupervised training. However, we found thatusing them did not give any significant advantage over just using the YouTubevideos.	Incorrect	Change concept	Incorrect	Incorrect	Correct	Incorrect	Incorrect	Incorrect
UCF-101, HMDB-51 and YouTube videos datasets are used for supervised learning.	To train the unsupervised models, we used a subset of the Sports-1M dataset(Karpathy et al., 2014), that contains 1 million YouTube clips.Even though this dataset is labelled for actions, we didnot do any supervised experiments on it because of logistical constraints withworking with such a huge dataset. We instead collected 300 hours of video byrandomly sampling 10 second clips from the dataset. It is possible to collectbetter samples if instead of choosing randomly, we extracted videos where a lot ofmotion is happening and where there are no shot boundaries. However, we did notdo so in the spirit of unsupervised learning, and because we did not want tointroduce any unnatural bias in the samples. We also used the supervised datasets (UCF-101 and HMDB-51) for unsupervised training. However, we found that using them did not give any significant advantage over just using the YouTubevideos.	Correct		Incorrect	Correct	Correct	Incorrect	Incorrect	Incorrect
YouTube videos datasets are used for supervised learning.	To train the unsupervised models, we used a subset of the Sports-1M dataset(Karpathy et al., 2014), that contains 1 million YouTube clips.Even though this dataset is labelled for actions, we didnot do any supervised experiments on it because of logistical constraints withworking with such a huge dataset. We instead collected 300 hours of video byrandomly sampling 10 second clips from the dataset. It is possible to collectbetter samples if instead of choosing randomly, we extracted videos where a lot ofmotion is happening and where there are no shot boundaries. However, we did notdo so in the spirit of unsupervised learning, and because we did not want tointroduce any unnatural bias in the samples. We also used the supervised datasets (UCF-101 and HMDB-51) for unsupervised training. However, we found that using them did not give any significant advantage over just using the YouTubevideos.	Incorrect	Change concept	Incorrect	Incorrect	Incorrect	Incorrect	Incorrect	Incorrect
The UCF-101 dataset contains 13,320 videos with an average length of 6. 2 seconds.  The HMDB-51 dataset contains 5100 videos with mean length of the videos is 3. 2 seconds.	We use the UCF-101 and HMDB-51 datasets for supervised tasks.The UCF-101 dataset (Soomro et al., 2012) contains 13,320 videos with an average length of6.2 seconds belonging to 101 different action categories. The dataset has 3standard train/test splits with the training set containing around 9,500 videosin each split (the rest are test).The HMDB-51 dataset (Kuehne et al., 2011) contains 5100 videos belonging to 51 differentaction categories. Mean length of the videos is 3.2 seconds. This also has 3train/test splits with 3570 videos in the training set and rest in test.	Correct		Correct	Correct	Correct	Incorrect	Incorrect	Correct
The UCF-101 dataset contains 13,320 videos with an average length of 3.2 seconds.  The HMDB-51 dataset contains 5100 videos with mean length of the videos is 6.2 seconds.	We use the UCF-101 and HMDB-51 datasets for supervised tasks.The UCF-101 dataset (Soomro et al., 2012) contains 13,320 videos with an average length of6.2 seconds belonging to 101 different action categories. The dataset has 3standard train/test splits with the training set containing around 9,500 videosin each split (the rest are test).The HMDB-51 dataset (Kuehne et al., 2011) contains 5100 videos belonging to 51 differentaction categories. Mean length of the videos is 3.2 seconds. This also has 3train/test splits with 3570 videos in the training set and rest in test.	Incorrect	Change number	Incorrect	Incorrect	Correct	Incorrect	Incorrect	Incorrect
The improvement in classification by using unsupervised learning was not as big as we expected, we still managed to yield an additional improvement over a strong baseline.  If the unsupervised learning model comes up with useful representations then the classifier perform better, especially when there are only a few labelled examples.  Based on the above evidence, it can be safely said that features learned by unsupervised learning improved the performance of supervised learning tasks.	Fig. 12 compares three models - single frame classifier(logistic regression), baseline LSTM classifier and the LSTM classifierinitialized with weights from the Composite Model as the number of labelledvideos per class is varied. Note that having one labelled video means havingmany labelled 16 frame blocks. We can see that for the case of very fewtraining examples, unsupervised learning gives a substantial improvement. Forexample, for UCF-101, the performance improves from 29.6% to 34.3% whentraining on only one labelled video. As the size of the labelled dataset grows,the improvement becomes smaller. Even for the full UCF-101 dataset we still get aconsiderable improvement from 74.5% to 75.8%. On HMDB-51, the improvement isfrom 42.8% to 44.0% for the full dataset (70 videos per class) and 14.4% to19.1% for one video per class. Although, the improvement in classification byusing unsupervised learning was not as big as we expected, we still managed toyield an additional improvement over a strong baseline. We discuss some avenuesfor improvements later.Next, we compare the models using performance on a supervised task.Table 3 shows the performance on actionrecognition achieved by finetuning different unsupervised learning models.Besides running the experiments on the full UCF-101 and HMDB-51 datasets, we also ran theexperiments on small subsets of these to better highlight the case where we havevery few training examples. We find that all unsupervised models improve over thebaseline LSTM which is itself well-regularized by using dropout. The Autoencodermodel seems to perform consistently better than the Future Predictor. TheComposite model which combines the two does better than either one alone.Conditioning on the generated inputs does not seem to give a clearadvantage over not doing so. The Composite Model with a conditional futurepredictor works the best, although its performance is almost same as that of theComposite Model.We proposed models based on LSTMs that can learn good video representations. Wecompared them and analyzed their properties through visualizations. Moreover, wemanaged to get an improvement on supervised tasks. The best performing model wasthe Composite Model that combined an autoencoder and a future predictor.Conditioning on generated outputs did not have a significant impact on theperformance for supervised tasks, however it made the future predictions lookslightly better. The model was able to persistently generate motion well beyondthe time scales it was trained for. However, it lost the precise object featuresrapidly after the training time scale. The features at the input and outputlayers were found to have some interesting properties.In order to evaluate the learned representations we qualitatively analyze thereconstructions and predictions made by the model. For a more quantitativeevaluation, we use these LSTMs as initializations for the supervised task ofaction recognition. If the unsupervised learning model comes up with usefulrepresentations then the classifier should be able to perform better, especiallywhen there are only a few labelled examples. We find that this is indeed thecase.	Correct		Correct	Correct	Correct	Incorrect	Correct	Correct
The features learned by unsupervised learning did not improve the performance of supervised learning tasks.	Fig. 12 compares three models - single frame classifier(logistic regression), baseline LSTM classifier and the LSTM classifierinitialized with weights from the Composite Model as the number of labelledvideos per class is varied. Note that having one labelled video means havingmany labelled 16 frame blocks. We can see that for the case of very fewtraining examples, unsupervised learning gives a substantial improvement. Forexample, for UCF-101, the performance improves from 29.6% to 34.3% whentraining on only one labelled video. As the size of the labelled dataset grows,the improvement becomes smaller. Even for the full UCF-101 dataset we still get aconsiderable improvement from 74.5% to 75.8%. On HMDB-51, the improvement isfrom 42.8% to 44.0% for the full dataset (70 videos per class) and 14.4% to19.1% for one video per class. Although, the improvement in classification byusing unsupervised learning was not as big as we expected, we still managed toyield an additional improvement over a strong baseline. We discuss some avenuesfor improvements later.Next, we compare the models using performance on a supervised task.Table 3 shows the performance on actionrecognition achieved by finetuning different unsupervised learning models.Besides running the experiments on the full UCF-101 and HMDB-51 datasets, we also ran theexperiments on small subsets of these to better highlight the case where we havevery few training examples. We find that all unsupervised models improve over thebaseline LSTM which is itself well-regularized by using dropout. The Autoencodermodel seems to perform consistently better than the Future Predictor. TheComposite model which combines the two does better than either one alone.Conditioning on the generated inputs does not seem to give a clearadvantage over not doing so. The Composite Model with a conditional futurepredictor works the best, although its performance is almost same as that of theComposite Model.We proposed models based on LSTMs that can learn good video representations. Wecompared them and analyzed their properties through visualizations. Moreover, wemanaged to get an improvement on supervised tasks. The best performing model wasthe Composite Model that combined an autoencoder and a future predictor.Conditioning on generated outputs did not have a significant impact on theperformance for supervised tasks, however it made the future predictions lookslightly better. The model was able to persistently generate motion well beyondthe time scales it was trained for. However, it lost the precise object featuresrapidly after the training time scale. The features at the input and outputlayers were found to have some interesting properties.In order to evaluate the learned representations we qualitatively analyze thereconstructions and predictions made by the model. For a more quantitativeevaluation, we use these LSTMs as initializations for the supervised task ofaction recognition. If the unsupervised learning model comes up with usefulrepresentations then the classifier should be able to perform better, especiallywhen there are only a few labelled examples. We find that this is indeed thecase.	Incorrect	Opposite	Incorrect	Incorrect	Correct	Incorrect	Incorrect	Incorrect
As the number of training videos increases the performance of supervised and unsupervised tasks increases.	Fig. 12 compares three models - single frame classifier (logistic regression), baseline LSTM classifier and the LSTM classifier initialized with weights from the Composite Model as the number of labelled videos per class is varied. Note that having one labelled video means having many labelled 16 frame blocks. We can see that for the case of very fewtraining examples, unsupervised learning gives a substantial improvement. For example, for UCF-101, the performance improves from 29.6% to 34.3% whentraining on only one labelled video. As the size of the labelled dataset grows,the improvement becomes smaller. Even for the full UCF-101 dataset we still get a considerable improvement from 74.5% to 75.8%. On HMDB-51, the improvement isfrom 42.8% to 44.0% for the full dataset (70 videos per class) and 14.4% to19.1% for one video per class. Although, the improvement in classification by using unsupervised learning was not as big as we expected, we still managed toyield an additional improvement over a strong baseline. We discuss some avenues for improvements later.	Correct		Incorrect	Incorrect	Correct	Incorrect	Incorrect	Incorrect
As the number of training videos increases the performance of self-supervised and unsupervised tasks increases.	Fig. 12 compares three models - single frame classifier (logistic regression), baseline LSTM classifier and the LSTM classifier initialized with weights from the Composite Model as the number of labelled videos per class is varied. Note that having one labelled video means having many labelled 16 frame blocks. We can see that for the case of very fewtraining examples, unsupervised learning gives a substantial improvement. For example, for UCF-101, the performance improves from 29.6% to 34.3% whentraining on only one labelled video. As the size of the labelled dataset grows,the improvement becomes smaller. Even for the full UCF-101 dataset we still get a considerable improvement from 74.5% to 75.8%. On HMDB-51, the improvement isfrom 42.8% to 44.0% for the full dataset (70 videos per class) and 14.4% to19.1% for one video per class. Although, the improvement in classification by using unsupervised learning was not as big as we expected, we still managed toyield an additional improvement over a strong baseline. We discuss some avenues for improvements later.	Incorrect	Change concept	Incorrect	Incorrect	Correct	Incorrect	Incorrect	Incorrect
Evaluation criteria are measure on RGB data (single or multiple frames) and flow features.	Finally, we compare our models to the state-of-the-art action recognition results. The performance is summarized in Table 4. The table isdivided into three sets. The first set compares models that use only RGB data (single or multiple frames). The second set compares models that use explicitly computed flow features only. Models in the third set use both.	Correct		Incorrect	Correct	Correct	Incorrect	Incorrect	Correct
Evaluation criteria are measure on RGB data (single or multiple frames).	Finally, we compare our models to the state-of-the-art action recognition results. The performance is summarized in Table 4. The table isdivided into three sets. The first set compares models that use only RGB data (single or multiple frames). The second set compares models that use explicitly computed flow features only. Models in the third set use both.	Incorrect	Change concept	Correct	Correct	Correct	Incorrect	Correct	Correct
Error in predicting the future and the performance on supervised tasks are the metrics used to compare different unsupervised models.	The aim of this set of experiments is to compare the different variants of the model proposed in this paper. Since it is always possible to get lower reconstruction error by copying the inputs, we cannot use input reconstruction error as a measure of how good a model is doing. However, we can use the error in predicting the future as a reasonable measure of how good the model is doing. Besides, we can use the performance on supervised tasks as a proxy for how good the unsupervised model is doing. In this section, we present results from these two analyses.	Correct		Correct	Correct	Correct	Correct	Incorrect	Correct
Error in predicting the future and the performance on supervised tasks are the metrics used to compare different unsupervised models, with each metric being weighted equally in the final ranking.	The aim of this set of experiments is to compare the different variants of the model proposed in this paper. Since it is always possible to get lower reconstruction error by copying the inputs, we cannot use input reconstruction error as a measure of how good a model is doing. However, we can use the error in predicting the future as a reasonable measure of how good the model is doing. Besides, we can use the performance on supervised tasks as a proxy for how good the unsupervised model is doing. In this section, we present results from these two analyses.	Incorrect	Invent something doesn't mentioned	Correct	Correct	Correct	Incorrect	Incorrect	Correct
To extract motion information it is a good idea to apply the convolutions across patches of the video instead of whole frames.	To further get improvements for supervised tasks, we believe that the model can be extended by applying it convolutionally across patches of the video and stacking multiple layers of such models. Applying this model in the lower layers of a convolutional net could help extract motion information that would otherwise be lost across max-pooling layers. In our future work, we plan to build models based on these autoencoders from the bottom up instead of applying them only to percepts.	Correct		Incorrect	Correct	Correct	Incorrect	Correct	Correct
